last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2018-11-18,69,Private room,873070,Real Bed,131,873070,Apartment,Brazil,True,5,Rio De Janeiro,27,57,87,362,2018,11,18
2019-02-25,99,Private room,7199745,Real Bed,15,7199745,Apartment,Spain,False,3,Barcelona,0,0,6,91,2019,02,25
2017-08-03,2,Entire home/apt,6304878,Real Bed,699,6304878,Apartment,Hong Kong,False,1,Hong Kong,0,0,0,0,2017,08,03
2019-02-09,38,Entire home/apt,114216441,Real Bed,99,114216441,Apartment,United States,True,2,New York,7,16,35,286,2019,02,09
2019-03-04,33,Entire home/apt,26978568,Real Bed,80,26978568,House,Australia,True,1,Sydney,6,13,13,246,2019,03,04
2019-02-24,47,Private room,124869252,Real Bed,14,124869252,Apartment,Spain,False,1,Barcelona,19,49,79,79,2019,02,24
2019-01-02,80,Entire home/apt,124399497,Real Bed,100,124399497,Apartment,Portugal,False,1,Porto,28,52,70,106,2019,01,02
2019-03-03,379,Private room,26432133,Real Bed,48,26432133,Townhouse,United States,True,5,New York,19,19,19,236,2019,03,03
2018-06-04,2,Entire home/apt,95597326,Real Bed,601,95597326,Serviced apartment,Brazil,False,3,Rio De Janeiro,0,0,0,0,2018,06,04
2016-08-24,3,Private room,9537721,Real Bed,224,9537721,Apartment,Brazil,False,2,Rio De Janeiro,17,39,69,344,2016,08,24
2019-03-02,9,Entire home/apt,59830753,Real Bed,151,59830753,Guest suite,Australia,False,1,Sydney,27,54,84,359,2019,03,02
2019-01-21,67,Entire home/apt,41950889,Real Bed,110,41950889,Apartment,United States,False,28,New York,17,47,77,352,2019,01,21
2017-04-17,3,Private room,54098346,Real Bed,150,54098346,Apartment,United States,False,1,New York,0,0,0,0,2017,04,17
2019-01-28,33,Entire home/apt,3953109,Real Bed,64,3953109,Apartment,Portugal,False,429,Porto,15,33,48,297,2019,01,28
2019-02-27,123,Private room,25102990,Real Bed,95,25102990,Bungalow,United States,False,1,New York,22,46,60,146,2019,02,27
2019-02-10,5,Entire home/apt,124581034,Real Bed,380,124581034,Villa,United States,True,29,New York,8,21,51,275,2019,02,10
2019-02-14,71,Entire home/apt,126412228,Real Bed,75,126412228,Apartment,Portugal,False,7,Porto,4,8,19,230,2019,02,14
2019-03-04,9,Entire home/apt,14634338,Real Bed,1397,14634338,Apartment,Hong Kong,False,6,Hong Kong,8,24,51,322,2019,03,04
2019-03-02,60,Entire home/apt,128054997,Real Bed,299,128054997,Guesthouse,United States,True,2,New York,6,24,35,258,2019,03,02
2018-08-09,3,Entire home/apt,110204521,Real Bed,160,110204521,House,Portugal,False,9,Porto,0,0,0,132,2018,08,09
2019-01-01,21,Entire home/apt,6232360,Real Bed,350,6232360,House,Australia,True,4,Sydney,0,0,0,0,2019,01,01
2019-01-01,12,Entire home/apt,129967760,Real Bed,200,129967760,Apartment,Portugal,False,1,Porto,30,60,90,324,2019,01,01
2019-01-25,9,Entire home/apt,69552498,Real Bed,551,69552498,Condominium,United States,False,156,New York,4,16,27,179,2019,01,25
2018-10-07,18,Entire home/apt,686654,Real Bed,250,686654,Apartment,Canada,True,1,Montreal,0,0,0,0,2018,10,07
2017-09-18,2,Private room,131637799,Real Bed,111,131637799,Serviced apartment,Turkey,False,1,Istanbul,29,59,89,89,2017,09,18
2019-01-06,30,Entire home/apt,131782286,Real Bed,50,131782286,Apartment,Portugal,False,1,Porto,20,50,76,329,2019,01,06
2017-06-18,3,Private room,132500182,Real Bed,23,132500182,Apartment,Canada,False,1,Montreal,0,0,0,0,2017,06,18
2018-12-30,39,Entire home/apt,112290924,Real Bed,75,112290924,Apartment,Portugal,False,6,Porto,21,51,78,346,2018,12,30
2019-02-17,65,Entire home/apt,182461,Real Bed,110,182461,House,United States,False,2,New York,5,6,22,39,2019,02,17
2019-01-06,4,Entire home/apt,9898323,Real Bed,300,9898323,Apartment,Australia,False,1,Sydney,29,59,89,364,2019,01,06
2018-08-11,1,Entire home/apt,13469110,Real Bed,95,13469110,Condominium,United States,False,1,New York,8,9,9,9,2018,08,11
2018-10-03,2,Entire home/apt,132087088,Real Bed,239,132087088,Condominium,United States,False,222,New York,2,4,34,197,2018,10,03
2017-12-21,2,Entire home/apt,4213096,Real Bed,110,4213096,Apartment,United States,False,1,New York,21,21,47,229,2017,12,21
2019-02-20,31,Entire home/apt,88617462,Real Bed,68,88617462,Guest suite,United States,False,2,New York,0,0,0,0,2019,02,20
2019-01-14,79,Entire home/apt,44779942,Real Bed,31,44779942,House,Portugal,True,1,Porto,21,43,67,281,2019,01,14
2018-04-29,5,Entire home/apt,16588093,Real Bed,301,16588093,Loft,Canada,False,1,Montreal,30,60,90,90,2018,04,29
2019-02-09,19,Entire home/apt,76217411,Real Bed,94,76217411,Condominium,Canada,False,1,Montreal,6,6,8,8,2019,02,09
2019-02-22,32,Entire home/apt,299462,Real Bed,200,299462,Apartment,Spain,False,98,Barcelona,10,10,14,283,2019,02,22
2019-01-24,74,Entire home/apt,17714205,Real Bed,145,17714205,Apartment,Australia,True,8,Sydney,2,13,26,179,2019,01,24
